Stock_Exchange_Code,back_door_listing,Share_holding ratio_sub_shareholders,PE Ratio,PCF,Enterprise_Multiple,PB_ratio,Dynamic_PE_ratio,WACC,Annual_yield,EPS,Net_cash_flow_from_operating_activities_per_share,Gross_operating_Income_per_share,Capital reserves per share,Retained earnings per share,Net cash flow per share,ROE,Net profit margin on sales,ROA,Annualized ROE,Gross profit margin on sales,Selling expense/Gross revenue,Overheads/Gross revenue(%),Financial expenses/Gross revenue(%),Ratio of profits to cost,R&D expenses/Gross revenue(%),Gearing ratio,Equity Multiplier,Current ratio,Cash ratio,Quick ratio,Times interest earned,Long-term debt to working capital ratio,Net debt/equity value(%),Interest-bearing debt/equity value,Inventory turnover days,Inventory turnover,Accounts receivable turnover ratio,Accounts payable turnover ratio,Current asset turnover ratio,Fixed asset turnover ratio,Total asset turnover ratio,Working capital turnover ratio,Non-current capital turnover,Earning per share growth rate(%),Year-on-year growth rate of total revenue(%),Year-on-year growth rate of operating profit(%),Year-on-year growth rate of total profits(%),Year-on-year growth rate of net cash flow from operating activities(%),Year-on-year growth rate of ROE(Diluted),Year-on-year growth rate of net assets(%),Year-on-year growth of total liabilities(%),Year-on-year growth rate of net cash flow(%),Year-on-year growth of total assets(%),Year-on-year growth of net profit(%),Year-on-year growth of total operating cost(%),Net asset per share growth rate,Total asset growth relative to the beginning of the year,Increase/decrease rate(%),Audit opinion
600634.SH,1,27.42,-0.2627,-25.8258,-0.995,-0.41,-22.7659,8.83,-59.0388,-1.15,0.1398,1.2782,1.7151,-10.0996,-0.1226,0,-90.0088,-3.4587,0,72.6354,5.174,42.5366,66.7021,-63.3991,4.7563,197.316,0,0.222,0.0554,0.222,-0.3119,0,232.7512,265.5354,0,0,7.8251,6.0501,0.6392,19.9828,0.1663,-0.2203,0.2926,-47.4359,23.3093,-6863.5653,-51.2863,112.2405,0,-371.6124,91.0458,94.5559,-28.3147,-47.3498,98.9128,-18.69,-5.3774,-38.4314,3
000555.SZ,1,40.14,232.3282,-48.74,54.4692,2.1952,79.5198,10.38,-3.2916,0.1975,-0.6382,6.4709,2.4145,1.7535,-0.8878,3.8119,2.9257,2.5203,5.0826,18.2863,5.5587,3.1648,1.0831,3.1832,3.8746,48.6557,1.9476,1.4593,0.1392,1.0312,3.8598,0.0254,7.3255,15.6874,100.226,2.6939,1.9954,2.1463,0.8486,12.0473,0.6028,2.8901,3.3874,-35.7932,1.0206,-33.5301,-32.5222,14.6811,-33.784,-3.0172,4.2917,34.6358,0.6252,-37.9987,1.3713,1.8812,-6.6361,58.9885,5
600615.SH,0,33.45,394.9538,245.425,88.5548,2.8826,-960.6973,10.44,-9.5724,0.168,-0.0253,0.2255,2.3189,-0.2806,2.7075,5.1328,74.1951,6.1098,6.8437,5.1971,4.3973,20.7088,-0.333,60.5709,0,6.3298,1.0676,23.1201,19.2879,22.7678,0,0.0269,-1.4322,0.0959,66.7823,4.043,1.7104,4.6042,0.0707,1.315,0.0642,0.0742,1.1103,90.9091,-31.3767,101.8607,101.7798,-153.2058,83.7182,3.9595,-27.9783,669.1354,1.0982,89.01,-19.4565,5.2679,4.3346,9.1603,3
600566.SH,1,51.14,15.9103,39.8755,12.3328,5.1424,13.4973,12.64,6.4884,1.602,2.1872,6.6092,2.1674,4.1383,0.554,23.1905,24.24,18.567,30.9207,84.4526,49.766,3.5476,-0.3045,34.5354,2.8835,31.4147,1.458,2.4626,1.0535,2.308,0,0.2553,-5.5803,2.0229,99.4993,2.7136,2.5378,1.2844,1.1808,2.4008,0.6626,1.9515,1.9298,-0.682,-2.8499,2.0108,-0.6496,14.4804,-12.6749,14.2341,7.0756,-4.2095,11.8843,-0.2449,-3.8412,6.4177,8.486,-25.1869,5
000605.SZ,1,22.46,54.0774,22.0635,12.8355,1.4973,117.5404,10,-40.1868,0.0906,0.1401,3.2761,3.4344,1.3905,-0.2244,1.5242,3.2327,2.611,2.0323,30.1474,1.221,7.5114,10.023,3.4808,1.2915,61.514,2.5983,0.9069,0.2328,0.5499,1.4923,0,34.8336,60.4691,315.9147,0.8547,1.8857,0.8353,0.4679,1.1327,0.1746,-6.089,0.4024,-13.2184,3.3913,-15.793,-14.1927,116.0614,-15.1292,2.1849,15.5052,-400.3852,10.4937,-8.3533,4.7959,-1.4893,-10.8318,-27.6369,5
000657.SZ,1,60.94,47.1593,94.9175,10.086,1.6735,37.668,12.47,-7.9848,0.1233,0.1889,6.7205,2.8921,-0.0824,-0.2443,3.3528,2.6819,3.6646,4.4705,20.1214,4.9284,5.9985,0.9478,2.8956,3.647,48.1138,1.9273,1.4285,0.2304,0.8834,4.9085,0.4769,27.0265,41.8342,99.6974,2.7082,4.1556,9.3083,1.3875,2.5866,0.7877,4.7008,2.4548,0.7353,-2.3768,-9.0849,0.8323,699.1602,-1.983,2.7538,1.0882,-92.3444,2.1147,-0.6567,-1.2502,3.4188,1.9358,28.7594,5
603026.SH,0,28.21,25.3587,1435.7122,16.5787,4.2855,12.846,15.37,16.0776,1.49,1.2217,17.4874,2.063,4.8402,0.2242,17.7016,9.127,13.5288,23.6021,17.7147,2.0214,2.7244,0.3633,10.3843,3.0636,30.3879,1.4365,1.804,0.3102,1.3784,29.0096,0.1426,4.1618,7.5256,29.9109,9.0268,6.9774,7.7284,2.4892,3.2551,1.2837,6.0226,3.4177,77.381,-7.6802,68.6219,71.9248,-2.7737,57.8138,12.9184,-30.1051,1525.7882,-4.7464,93.065,-10.4904,11.6628,-0.9289,84.3711,5
600603.SH,1,43.13,10.6842,3.0807,7.815,0.9484,13.1896,11.89,-7.1472,0.23,0.7395,0.9402,0.6256,2.7963,0.0948,4.5621,23.8656,3.068,6.0828,56.0791,6.4691,6.4233,0.7813,35.5293,0,61.2408,2.58,1.4054,0.3347,0.6198,49.1234,0.9024,-5.4231,37.948,2366.4554,0.1141,1.4209,0.6347,0.1342,26.5344,0.0799,0.3686,0.4772,9.5238,16.8634,-7.883,-6.8754,62.9058,8.7659,-0.6715,78.4756,-85.7799,38.351,1.8121,33.6938,-6.7312,16.8223,29.0676,5
600206.SH,0,33.08,77.1387,-20.3752,51.2079,2.3924,119.6554,12.73,3.8748,0.089,-0.5121,8.5185,1.7363,0.8178,-0.4157,2.5164,1.1045,2.6988,3.3552,3.8222,0.5442,1.2229,0.0064,1.1264,1.04,11.9767,1.1361,8.617,0.7898,5.9778,207.2198,0.0636,-0.4715,1.2344,25.2159,10.7075,13.7151,78.4578,2.8879,19.6973,2.0209,3.242,9.1262,11.25,123.1189,10.5431,15.2003,-118.0976,6.8448,3.2545,10.5686,29.5266,3.9997,12.3954,124.1064,2.7404,3.4647,87.0259,5
000902.SZ,1,47.53,15.4192,-783.9805,10.5993,2.1752,9.9858,9.21,12.3492,0.49,0.8652,6.225,0.3696,3.3162,0.3638,10.0556,8.0121,8.6908,13.4075,18.848,5.2828,2.8484,-0.1714,8.9519,0.4069,25.3449,1.3395,2.4222,0.737,1.4157,0,0.045,-9.9141,0.0705,99.9833,2.7005,18.8421,6.4259,1.5529,2.9249,0.901,2.8019,2.4116,-12.5,-3.2962,-14.6074,-13.9652,194.434,-18.0414,6.5086,-9.6271,482.764,2.0642,-12.956,-2.2449,5.4143,0.3173,-10.138,5
